name,long,lat
ბანძა,42.2828313,42.3518142
ზვარე,43.401933,41.976295
ზემო ნუნისი,43.4160257,41.9489103
მოლითი,43.3576312,41.9821931
ჯგალი,42.1296576,42.65153
მუხური,42.1775998,42.6314939
საჩინო,42.0793599,42.6465366
ნაკიფუ,42.0878595,42.5818488
ობუჯი,42.0458168,42.5551586
სქური,42.1608498,42.6919847
მათხოჯი,42.4399166,42.385136
ჩრდილი,43.3892005,41.9695052
ხალდე,42.9500775,42.9460758
დავბერი,42.929358,42.9306567
ლალხორი,42.9220657,42.9314657
იფრარი,42.9242387,42.9365081
ლასკრალი,42.9211122,42.9380116
აგრაი,42.9160625,42.9405524
ხე,42.9107088,42.9395069
ვიჩნაში,42.9026933,42.9437608
ადიში,42.9135003,42.9967611
ზეგანი,42.8142677,43.0040391
ნაკიფარი,42.8202312,43.0097273
ბოგრეში,42.8261711,43.0108993
წვირმი,42.8057896,43.014592
ჟაბეში,42.8672967,43.0466331
ცალდაში,42.8583411,43.0449335
ჩვაბიანი,42.8515613,43.0429532
მაჯვდიერი,42.840193,43.0433669
ჭოლაში,42.8288912,43.0485551
ჟამუში,42.8120881,43.0505099
ლახირი,42.8137066,43.0550435
არცხელი,42.7934458,43.0491399
მურშკელი,42.7961022,43.0534197
ღვებრა,42.7815166,43.0497214
ზარდლაში,42.7829552,43.0536637
იელი,42.7603862,43.0098592
ლაშტხვერი,42.6957762,43.0340943
ქაშვეთი,42.6928907,43.0317443
ლემსია,42.6903329,43.0349011
სოლი,42.6765777,43.0299358
ლახუშდი,42.6457354,43.0064703
იენაში,42.6303766,43.0132545
მაცხვარიში,42.6191163,43.0138262
კვანჭიანარი,42.6241364,43.0092769
მაზერი,42.6099507,43.0735255
ბაგვდანარი,42.6165053,43.0694471
უშხვანარი,42.6113233,43.048937
ლეზგარა,42.5485097,43.0018037
ტვიბერი,42.5450305,43.0078549
სვიფი,42.539723,43.0124703
ჰებუდი,42.5537173,43.0283792
ღვებალდი,42.5294968,43.0163395
გვალდერი,42.5077362,43.026075
ლაშხრერი,42.5085275,43.0351717
ლადრერი,42.50328,43.0369138
ცალანარი,42.5114098,43.0414257
ისკარი,42.520985,43.0437632
